cod,neighborhood
2611606001,"Recife"
2611606002,"Santo Amaro"
2611606003,"Boa Vista"
2611606004,"Soledade"
2611606005,"Santo Antônio"
2611606006,"Paissandu"
2611606007,"Ilha do Leite"
2611606008,"Coelhos"
2611606009,"Ilha Joana Bezerra"
2611606010,"Cabanga"
2611606011,"São José"
2611606012,"Derby"
2611606013,"Graças"
2611606014,"Jaqueira"
2611606015,"Aflitos"
2611606016,"Espinheiro"
2611606017,"Rosarinho"
2611606018,"Tamarineira"
2611606019,"Peixinhos"
2611606020,"Campina do Barreto"
2611606021,"Arruda"
2611606022,"Ponto de Parada"
2611606023,"Hipódromo"
2611606024,"Campo Grande"
2611606025,"Encruzilhada"
2611606026,"Torreão"
2611606027,"Passarinho"
2611606028,"Dois Unidos"
2611606029,"Linha do Tiro"
2611606030,"Beberibe"
2611606031,"Alto Santa Teresinha"
2611606032,"Porto da Madeira"
2611606033,"Cajueiro"
2611606034,"Fundão"
2611606035,"Água Fria"
2611606036,"Bomba do Hemetério"
2611606037,"Pau-Ferro"
2611606038,"Guabiraba"
2611606039,"Sítio dos Pintos"
2611606040,"Dois Irmãos"
2611606041,"Brejo da Guabiraba"
2611606042,"Córrego do Jenipapo"
2611606043,"Apipucos"
2611606044,"Macaxeira"
2611606045,"Nova Descoberta"
2611606046,"Brejo de Beberibe"
2611606047,"Alto do Mandu"
2611606048,"Casa Amarela"
2611606049,"Vasco da Gama"
2611606050,"Alto José Bonifácio"
2611606051,"Morro da Conceição"
2611606052,"Alto José do Pinho"
2611606053,"Mangabeira"
2611606054,"Parnamirim"
2611606055,"Casa Forte"
2611606056,"Santana"
2611606057,"Poço"
2611606058,"Monteiro"
2611606059,"Torre"
2611606060,"Cordeiro"
2611606061,"Zumbi"
2611606062,"Madalena"
2611606063,"Prado"
2611606064,"Ilha do Retiro"
2611606065,"Bongi"
2611606066,"San Martin"
2611606067,"Mustardinha"
2611606068,"Mangueira"
2611606069,"Várzea"
2611606070,"Caxangá"
2611606071,"Iputinga"
2611606072,"Torrões"
2611606073,"Engenho do Meio"
2611606074,"Cidade Universitária"
2611606075,"Afogados"
2611606076,"Jiquiá"
2611606077,"Estância"
2611606078,"Areias"
2611606079,"Caçote"
2611606080,"Curado"
2611606081,"Totó"
2611606082,"Coqueiral"
2611606083,"Sancho"
2611606084,"Tejipió"
2611606085,"Jardim São Paulo"
2611606086,"Barro"
2611606087,"Cohab"
2611606088,"Jordão"
2611606089,"Ibura"
2611606090,"Ipsep"
2611606091,"Imbiribeira"
2611606092,"Boa Viagem"
2611606093,"Pina"
2611606094,"Brasília Teimosa"
