"Tabela 3261 - Domicílios particulares permanentes, por classes de rendimento nominal mensal domiciliar per capita"
"Variável - Domicílios particulares permanentes (Unidades)"
"Bairro e Município";"Ano x Classes de rendimento nominal mensal domiciliar per capita"
"Bairro e Município";"2010"
"Bairro e Município";"Total"
"Alta Floresta D'Oeste (RO)";"7270"
"Ariquemes (RO)";"27166"
"Cabixi (RO)";"1975"
"Cacoal (RO)";"24215"
"Cerejeiras (RO)";"5348"
"Colorado do Oeste (RO)";"5959"
"Corumbiara (RO)";"2649"
"Costa Marques (RO)";"3696"
"Espigão D'Oeste (RO)";"8683"
"Guajará-Mirim (RO)";"10684"
"Jaru (RO)";"15910"
"Ji-Paraná (RO)";"35567"
"Machadinho D'Oeste (RO)";"9154"
"Nova Brasilândia D'Oeste (RO)";"5916"
"Ouro Preto do Oeste (RO)";"11652"
"Pimenta Bueno (RO)";"10037"
"Porto Velho (RO)";"116863"
"Presidente Médici (RO)";"6842"
"Rio Crespo (RO)";"997"
"Rolim de Moura (RO)";"15790"
"Santa Luzia D'Oeste (RO)";"2746"
"Vilhena (RO)";"23506"
"São Miguel do Guaporé (RO)";"6391"
"Nova Mamoré (RO)";"6377"
"Alvorada D'Oeste (RO)";"5011"
"Alto Alegre dos Parecis (RO)";"3696"
"Alto Paraíso (RO)";"5071"
"Buritis (RO)";"9476"
"Novo Horizonte do Oeste (RO)";"2983"
"Cacaulândia (RO)";"1692"
"Campo Novo de Rondônia (RO)";"3637"
"Candeias do Jamari (RO)";"5685"
"Castanheiras (RO)";"1108"
"Chupinguaia (RO)";"2345"
"Cujubim (RO)";"4591"
"Governador Jorge Teixeira (RO)";"3007"
"Itapuã do Oeste (RO)";"2533"
"Ministro Andreazza (RO)";"2925"
"Mirante da Serra (RO)";"3515"
"Monte Negro (RO)";"4067"
"Nova União (RO)";"2100"
"Parecis (RO)";"1389"
"Pimenteiras do Oeste (RO)";"700"
"Primavera de Rondônia (RO)";"1079"
"São Felipe D'Oeste (RO)";"1810"
"São Francisco do Guaporé (RO)";"4728"
"Seringueiras (RO)";"3357"
"Teixeirópolis (RO)";"1475"
"Theobroma (RO)";"3068"
"Urupá (RO)";"3920"
"Vale do Anari (RO)";"2806"
"Vale do Paraíso (RO)";"2432"
"Acrelândia (AC)";"3459"
"Assis Brasil (AC)";"1539"
"Brasiléia (AC)";"5930"
"Bujari (AC)";"2330"
"Capixaba (AC)";"2353"
"Cruzeiro do Sul (AC)";"18581"
"Epitaciolândia (AC)";"4391"
"Feijó (AC)";"7037"
"Jordão (AC)";"1303"
"Mâncio Lima (AC)";"3586"
