Neighborhood,Population
Aflitos,5773
Afogados,36265
Água Fria,43529
Alto do Mandu,4655
Alto José Bonifácio,12462
Alto José do Pinho,12334
Alto Santa Terezinha,7703
Apipucos,3342
Areias,29894
Arruda,14530
Barro,31847
Beberibe,8856
Boa Viagem,122922
Boa Vista,14778
Bomba do Hemetério,8472
Bongi,8097
Brasília Teimosa,18334
Brejo da Guabiraba,11732
Brejo de Beberibe,8292
Cabanga,1551
Caçote,10470
Cajueiro,6584
Campina do Barreto,9484
Campo Grande,32149
Casa Amarela,29180
Casa Forte,6750
Caxangá,9634
Cidade Universitária,818
Coelhos,7633
Cohab,67283
Coqueiral,10794
Cordeiro,41164
Córrego do Jenipapo,9246
Curado,16418
Derby,2070
Dois Irmãos,2566
Dois Unidos,32905
Encruzilhada,1194
Engenho do Meio,10211
Espinheiro,10438
Estância,9240
Fundão,8132
Graças,20538
Guabiraba,6330
Hipódromo,2658
Ibura,50617
Ilha do Leite,1007
Ilha do Retiro,3740
Ilha Joana Bezerra,12629
Imbiribeira,48512
Ipsep,25029
Iputinga,522
Jaqueira,1591
Jardim São Paulo,31648
Jiquiá,10245
Jordão,20777
Linha do Tiro,14867
Macaxeira,20313
Madalena,22082
Mangabeira,6950
Mangueira,8480
Monteiro,5917
Morro da Conceição,10182
Mustardinha,12429
Nova Descoberta,34212
Paissandu,507
Parnamirim,7636
Passarinho,20305
Pau Ferro,72
Peixinhos,4998
Pina,29176
Poço,4615
Ponto de Parada,1554
Porto da Madeira,7713
Prado,11694
Recife,602
Rosarinho,4077
San Martin,25414
Sancho,11199
Santana,3054
Santo Amaro,27939
Santo Antônio,265
São José,8688
Sítio dos Pintos,7276
Soledade,2495
Tamarineira,14124
Tejipió,8918
Torre,17903
Torreão,1083
Torrões,32015
Totó,2420
Várzea,70453
Vasco da Gama,31025
Zumbi,6033
