"População Total e por Sexo, 1991 e 2000","","","","","","","",""
"Todos os Bairros do Recife","","","","","","","",""
"","","","","","","","",""
"Bairro","Código","População Total, 1991","População Total, 2000","Homens, 1991","Homens, 2000","Mullheres, 1991","Mullheres, 2000","Taxa de crescimento anual da população, 1991-2000"
"","","","","","","","",""
"Aflitos","15  ","3,390 ","4,382 ","1,478 ","1,956 ","1,912 ","2,426 ","2.92 "
"Afogados","75  ","36,770 ","36,146 ","17,009 ","16,632 ","19,761 ","19,514 ","-0.19 "
"Água Fria","35  ","44,861 ","44,020 ","21,344 ","20,630 ","23,517 ","23,390 ","-0.21 "
"Alto do Mandu","47  ","5,240 ","5,089 ","2,417 ","2,342 ","2,823 ","2,747 ","-0.33 "
"Alto José Bonifácio","50  ","13,252 ","12,377 ","6,295 ","5,861 ","6,957 ","6,516 ","-0.76 "
"Alto José do Pinho","52  ","12,220 ","12,433 ","5,713 ","5,746 ","6,507 ","6,687 ","0.19 "
"Alto Santa Terezinha","31  ","8,053 ","7,826 ","3,825 ","3,732 ","4,228 ","4,094 ","-0.32 "
"Apipucos","43  ","3,014 ","3,467 ","1,429 ","1,624 ","1,585 ","1,843 ","1.58 "
"Areias","78  ","31,154 ","31,120 ","14,307 ","14,154 ","16,847 ","16,966 ","-0.01 "
"Arruda","21  ","12,212 ","13,434 ","5,621 ","6,132 ","6,591 ","7,302 ","1.08 "
"Barro","86  ","22,575 ","31,111 ","10,703 ","14,739 ","11,872 ","16,372 ","3.66 "
"Beberibe","30  ","8,250 ","8,629 ","3,948 ","4,070 ","4,302 ","4,559 ","0.51 "
"Boa Viagem","92  ","88,289 ","100,388 ","39,103 ","44,812 ","49,187 ","55,576 ","1.45 "
"Boa Vista","3  ","17,059 ","14,033 ","7,021 ","5,864 ","10,038 ","8,169 ","-2.17 "
"Bomba do Hemetério","36  ","8,299 ","8,643 ","3,932 ","4,054 ","4,367 ","4,589 ","0.46 "
"Bongi","65  ","8,146 ","8,211 ","3,808 ","3,883 ","4,338 ","4,328 ","0.09 "
"Brasília Teimosa","94  ","17,351 ","19,155 ","8,307 ","9,136 ","9,044 ","10,019 ","1.12 "
"Brejo da Guabiraba","41  ","10,273 ","11,362 ","4,910 ","5,426 ","5,363 ","5,936 ","1.14 "
"Brejo do Beberibe","46  ","4,796 ","5,813 ","2,314 ","2,778 ","2,482 ","3,035 ","2.18 "
"Cabanga","10  ","1,871 ","1,536 ","815 ","674 ","1,056 ","862 ","-2.19 "
