Neighborhood;Population
Aflitos;5,773
Afogados;36,265
Água Fria;43,528999999999996
Alto do Mandu;4,655
Alto José Bonifácio;12,462
Alto José do Pinho;12,334000000000001
Alto Santa Terezinha;7,702999999999999
Apipucos;3,342
Areias;29,894000000000002
Arruda;14,53
Barro;31,846999999999998
Beberibe;8,856
Boa Viagem;122,92200000000001
Boa Vista;14,777999999999999
Bomba do Hemetério;8,472000000000001
Bongi;8,097000000000001
Brasília Teimosa;18,334
Brejo da Guabiraba;11,732000000000001
Brejo de Beberibe;8,292
Cabanga;1,551
Caçote;10,47
Cajueiro;6,584
Campina do Barreto;9,484
Campo Grande;32,149
Casa Amarela;29,18
Casa Forte;6,75
Caxangá;9,634
Cidade Universitária;818,0
Coelhos;7,632999999999999
Cohab;67,283
Coqueiral;10,794
Cordeiro;41,163999999999994
Córrego do Jenipapo;9,246
Curado;16,418
Derby;2,0709999999999997
Dois Irmãos;2,5660000000000003
Dois Unidos;32,905
Encruzilhada;11,94
Engenho do Meio;10,211
Espinheiro;10,437999999999999
Estância;9,24
Fundão;8,132
Graças;20,538
Guabiraba;6,33
Hipódromo;2,658
Ibura;50,617
Ilha do Leite;1,0070000000000001
Ilha do Retiro;3,74
Ilha Joana Bezerra;12,629000000000001
Imbiribeira;48,512
Ipsep;25,029
Iputinga;52,2
Jaqueira;1,591
Jardim São Paulo;31,648000000000003
Jiquiá;10,245
Jordão;20,776999999999997
Linha do Tiro;14,867
Macaxeira;20,313
Madalena;22,081999999999997
Mangabeira;6,95
Mangueira;8,48
Monteiro;5,917000000000001
Morro da Conceição;10,182
Mustardinha;12,429
Nova Descoberta;34,211999999999996
Paissandu;507,0
Parnamirim;7,636
Passarinho;20,305
Pau Ferro;72,0
Peixinhos;4,998
Pina;29,176
Poço;4,615
Ponto de Parada;1,554
Porto da Madeira;7,712999999999999
Prado;11,694
Recife;602,0
Rosarinho;4,077
San Martin;25,414
Sancho;11,199000000000002
Santana;3,054
Santo Amaro;27,939
Santo Antônio;265,0
São José;8,687999999999999
Sítio dos Pintos;7,276
Soledade;2,495
Tamarineira;14,124
Tejipió;8,918
Torre;17,903
Torreão;1,083
Torrões;32,015
Totó;2,42
Várzea;70,453
Vasco da Gama;31,025
Zumbi;6,0329999999999995
